timestamp,Aircraft Reg No,Amount Per Gallon,Average Fuel Consumption,Cost of Oil Change,Hours Between Oil Change,Average Oil Consumption,Average Cost of Oil,Cost of Overhaul,Time Different Overhaul,Annual Insurance Premium,Cost of Hanger,Annual Inspection Maintenance,Avionic Database,Annual Taxes Reg Fee,Value of Aircraft,Money Down,Loan Balance,Loan Interest Rate,Years of Loan,Engine Reserve Option,Monthly Loan Payment,Rental Cost/HR,Hours Intend to Fly This Year,Fuel,Oil Change / Oil Adds,Engine Reserve,Total Variable Cost Per Hour,Insurance,Hanger / Tierdown,Annual Inspection,Avionics Database Subscriptions,Annual Loan Payment,Annual Taxes and Registration,Total Fixed Cost Per Year,Fixed Cost Per Month,Break Even Hours,Total Cost to Breakeven,Cost Per Hour To Fly,Cost to Fly those Hours,Money Saved or Lost by Buying
1697196041,,4.75,8.0,100.0,50.0,0.15,7.5,20000.0,1200.0,1200.0,50.0,1500.0,500.0,255.0,50000.0,7500.0,42500.0,4.0,20.0,False,257.541639952249,135.0,77.0,38.0,3.125,16.666666666666668,41.125,1200.0,600.0,1500.0,500.0,3090.499679426988,255.0,7145.499679426988,595.4583066189157,77.0,10312.124679426988,133.92369713541603,10312.124679426988,82.87532057301178
1697196045,,4.75,8.0,100.0,50.0,0.15,7.5,20000.0,1200.0,1200.0,50.0,1500.0,500.0,255.0,50000.0,7500.0,42500.0,4.0,20.0,True,257.541639952249,135.0,77.0,38.0,3.125,16.666666666666668,57.79166666666667,1200.0,600.0,1500.0,500.0,3090.499679426988,255.0,7145.499679426988,595.4583066189157,77.0,11595.458012760322,133.92369713541603,11595.458012760322,-1200.4580127603222
1697200772,,4.75,8.0,100.0,50.0,0.15,7.5,20000.0,1200.0,1200.0,50.0,1500.0,500.0,255.0,50000.0,7500.0,42500.0,4.0,20.0,False,257.541639952249,135.0,77.0,38.0,3.125,16.666666666666668,41.125,1200.0,600.0,1500.0,500.0,3090.499679426988,255.0,7145.499679426988,595.4583066189157,77.0,10312.124679426988,133.92369713541603,10312.124679426988,82.87532057301178
1697200804,,4.75,8.0,100.0,50.0,0.15,7.5,20000.0,1200.0,1200.0,50.0,1500.0,500.0,255.0,50000.0,7500.0,42500.0,4.0,20.0,True,257.541639952249,135.0,77.0,38.0,3.125,16.666666666666668,57.79166666666667,1200.0,600.0,1500.0,500.0,3090.499679426988,255.0,7145.499679426988,595.4583066189157,77.0,11595.458012760322,133.92369713541603,11595.458012760322,-1200.4580127603222
1697225352,,4.75,8.0,100.0,50.0,0.15,7.5,20000.0,1200.0,1200.0,50.0,1500.0,500.0,255.0,50000.0,7500.0,42500.0,4.0,20.0,True,257.541639952249,135.0,77.0,38.0,3.125,16.666666666666668,57.79166666666667,1200.0,600.0,1500.0,500.0,3090.499679426988,255.0,7145.499679426988,595.4583066189157,77.0,11595.458012760322,133.92369713541603,11595.458012760322,-1200.4580127603222
1697225370,,4.75,8.0,100.0,50.0,0.15,7.5,20000.0,1200.0,1200.0,50.0,1500.0,500.0,255.0,50000.0,7500.0,42500.0,4.0,20.0,False,257.541639952249,135.0,77.0,38.0,3.125,16.666666666666668,41.125,1200.0,600.0,1500.0,500.0,3090.499679426988,255.0,7145.499679426988,595.4583066189157,77.0,10312.124679426988,133.92369713541603,10312.124679426988,82.87532057301178
1697225376,,4.75,8.0,100.0,50.0,0.15,7.5,20000.0,1200.0,1200.0,50.0,1500.0,500.0,255.0,50000.0,7500.0,42500.0,4.0,20.0,False,257.541639952249,135.0,77.0,38.0,3.125,16.666666666666668,41.125,1200.0,600.0,1500.0,500.0,3090.499679426988,255.0,7145.499679426988,595.4583066189157,77.0,10312.124679426988,133.92369713541603,10312.124679426988,82.87532057301178
1697225637,,4.75,8.0,100.0,50.0,0.15,7.5,20000.0,1200.0,1200.0,50.0,1500.0,500.0,255.0,50000.0,7500.0,42500.0,4.0,20.0,True,257.541639952249,135.0,77.0,38.0,3.125,16.666666666666668,57.79166666666667,1200.0,600.0,1500.0,500.0,3090.499679426988,255.0,7145.499679426988,595.4583066189157,77.0,11595.458012760322,133.92369713541603,11595.458012760322,-1200.4580127603222
1697226689,,4.75,8.0,100.0,50.0,0.15,7.5,20000.0,1200.0,1200.0,50.0,1500.0,500.0,255.0,50000.0,7500.0,42500.0,4.0,20.0,True,257.541639952249,135.0,77.0,38.0,3.125,16.666666666666668,57.79166666666667,1200.0,600.0,1500.0,500.0,3090.499679426988,255.0,7145.499679426988,595.4583066189157,77.0,11595.458012760322,133.92369713541603,11595.458012760322,-1200.4580127603222
1697232187,,4.75,8.0,100.0,50.0,0.15,7.5,20000.0,1200.0,1200.0,50.0,1500.0,500.0,255.0,50000.0,7500.0,42500.0,4.0,20.0,True,257.541639952249,135.0,77.0,38.0,3.125,16.666666666666668,57.79166666666667,1200.0,600.0,1500.0,500.0,3090.499679426988,255.0,7145.499679426988,595.4583066189157,77.0,11595.458012760322,133.92369713541603,11595.458012760322,-1200.4580127603222
